   n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, heapSort_cmp, heapSort_swaps, heapSort_time, quick_cmp, quick_swaps, quick_time
  42,           149,              13,              5,          1849,              11,             53,         1112,            457,            10,       949,          70,          9
  43,           152,              13,              3,          1936,              11,             35,         1149,            475,            11,       987,          72,          6
  44,           155,              13,              4,          2025,              11,             36,         1182,            486,            10,      1026,          74,          6
  45,           158,              13,              3,          2116,              11,             38,         1213,            503,            10,      1066,          76,          6
  46,           161,              13,              5,          2209,              11,             64,         1255,            520,            22,      1107,          78,         14
  47,           166,              14,              6,          2304,              12,             67,         1281,            532,            12,      1148,          80,          8
  48,           171,              15,              4,          2401,              13,             66,         1321,            548,            11,      1293,          84,          9
  49,           174,              15,              6,          2500,              13,             67,         1351,            559,            21,      1332,          85,         15
  50,           177,              15,              8,          2601,              13,             76,         1396,            581,            21,      1332,          86,         16
  51,           182,              16,              7,          2704,              14,             72,         1418,            588,            22,      1337,          86,          9
  52,           187,              17,              4,          2809,              15,             50,         1457,            602,            12,      1455,          90,          9
  53,           194,              19,              4,          2916,              15,             51,         1490,            619,            12,      1502,          91,         10
  54,           201,              21,              4,          3025,              17,             54,         1523,            633,            18,      1490,          93,         11
  55,           204,              21,              4,          3136,              17,             55,         1555,            652,            13,      1609,          94,         10
  56,           207,              21,              4,          3249,              17,             58,         1597,            670,            12,      1580,          95,          9
  57,           210,              21,              5,          3364,              17,             58,         1624,            678,            14,      1625,          97,          9
  58,           213,              21,              7,          3481,              17,            101,         1660,            699,            22,      1738,         101,         22
  59,           216,              21,              8,          3600,              17,             96,         1693,            715,            22,      1786,         103,         18
  60,           219,              21,              7,          3721,              17,            103,         1731,            732,            33,      1846,         104,         21
  61,           222,              21,              8,          3844,              17,            111,         1760,            745,            26,      1900,         106,         24
  62,           225,              21,              8,          3969,              17,            116,         1796,            761,            28,      1871,         106,         16
  63,           228,              21,              8,          4096,              17,            121,         1827,            779,            27,      1925,         108,         23
  64,           233,              22,              8,          4225,              18,            118,         1851,            782,            15,      1970,         108,         13
  65,           236,              22,              5,          4356,              18,             76,         1890,            797,             8,      2032,         111,         12
  66,           239,              22,              5,          4489,              18,             78,         1952,            830,             7,      2160,         115,         12
  67,           242,              22,              5,          4624,              18,             80,         1985,            843,             8,      2216,         117,         13
  68,           247,              23,              5,          4761,              19,             82,         2031,            861,             7,      2229,         116,         12
  69,           254,              25,              6,          4900,              19,             84,         2065,            874,             8,      2243,         118,         13
  70,           263,              28,              5,          5041,              20,             87,         2109,            894,             7,      2315,         120,         19
  71,           272,              31,              5,          5184,              21,             90,         2142,            907,             7,      2366,         120,         13
  72,           275,              31,              5,          5329,              21,             92,         2190,            928,             8,      2420,         121,         13
  73,           278,              31,              6,          5476,              21,             93,         2217,            931,             8,      2476,         123,         15
  74,           281,              31,              6,          5625,              21,             96,         2267,            957,             8,      2533,         125,         15
  75,           284,              31,              6,          5776,              21,             99,         2303,            977,             8,      2591,         127,         14
  76,           287,              31,              9,          5929,              21,            169,         2347,            992,            13,      2733,         131,         30
  77,           290,              31,              9,          6084,              21,            178,         2379,           1004,            15,      2793,         133,         31
  78,           295,              32,              9,          6241,              22,            175,         2424,           1024,            14,      2812,         132,         34
  79,           302,              34,              7,          6400,              22,            116,         2465,           1047,            11,      2826,         134,         16
  80,           305,              34,              6,          6561,              22,            119,         2508,           1062,             9,      2890,         135,         17
  81,           308,              34,              6,          6724,              22,            122,         2533,           1068,             9,      2952,         137,         17
  82,           311,              34,              6,          6889,              22,            125,         2568,           1080,             9,      3015,         139,         16
  83,           316,              35,              6,          7056,              23,            128,         2626,           1113,             9,      3078,         141,         16
  84,           319,              35,              6,          7225,              23,            131,         2654,           1120,             9,      3140,         142,         18
  85,           326,              37,              6,          7396,              25,            134,         2687,           1132,             9,      3197,         143,         17
  86,           335,              40,              7,          7569,              26,            138,         2732,           1152,             9,      3265,         145,         18
  87,           338,              40,              7,          7744,              26,            140,         2771,           1172,            10,      3332,         148,         18
  88,           341,              40,              8,          7921,              26,            148,         2812,           1188,            10,      3395,         150,         18
  89,           344,              40,              7,          8100,              26,            147,         2837,           1202,            10,      3459,         152,         19
  90,           347,              40,              7,          8281,              26,            156,         2893,           1226,            10,      3711,         156,         21
  91,           352,              41,              7,          8464,              27,            153,         2931,           1241,            14,      3762,         156,         40
  92,           355,              41,             12,          8649,              27,            271,         2978,           1266,            20,      3761,         156,         40
  93,           358,              41,             12,          8836,              27,            273,         3009,           1278,            17,      3847,         160,         42
  94,           361,              41,             12,          9025,              27,            248,         3057,           1301,            18,      4011,         163,         42
  95,           364,              41,             13,          9216,              27,            105,         3104,           1325,            17,      4084,         165,         44
  96,           367,              41,             12,          9409,              27,             87,         3122,           1323,            16,      4028,         165,         43
  97,           376,              44,             11,          9604,              30,             94,         3157,           1343,            12,      4042,         163,         22
  98,           387,              48,              8,          9801,              30,             49,         3197,           1356,            11,      4407,         168,         23
  99,           390,              48,              8,         10000,              30,             51,         3263,           1391,            11,      4544,         172,         25
 100,           393,              48,              8,         10201,              30,             51,         3294,           1403,            11,      4443,         172,         23
 101,           396,              48,              8,         10404,              30,             52,         3324,           1411,            11,      4526,         175,         24
 102,           399,              48,              9,         10609,              30,             54,         3386,           1440,            14,      4784,         181,         26
 103,           402,              48,              8,         10816,              30,             55,         3413,           1457,            13,      4866,         183,         12
 104,           405,              48,              8,         11025,              30,             55,         3471,           1482,            19,      4877,         184,          6
 105,           408,              48,              8,         11236,              30,             57,         3495,           1491,            10,      4963,         186,          6
 106,           411,              48,              8,         11449,              30,             58,         3544,           1517,             9,      5169,         187,          6
 107,           416,              49,              8,         11664,              31,             58,         3582,           1533,             9,      5174,         187,          6
 108,           421,              50,              9,         11881,              32,             59,         3623,           1550,             9,      5044,         188,          7
 109,           430,              53,             10,         12100,              31,             61,         3659,           1567,             9,      5062,         189,          6
 110,           437,              55,              9,         12321,              33,             61,         3700,           1587,             9,      5184,         192,          6
 111,           440,              55,              9,         12544,              33,             63,         3739,           1607,             9,      5312,         194,          6
 112,           443,              55,              9,         12769,              33,             63,         3784,           1628,             9,      5434,         195,          6
 113,           448,              56,              9,         12996,              34,             66,         3810,           1634,             9,      5475,         195,          6
 114,           453,              57,              9,         13225,              35,             67,         3851,           1651,             9,      5524,         197,         12
 115,           462,              60,             11,         13456,              34,             66,         3898,           1680,             9,      5574,         199,          6
 116,           465,              60,              9,         13689,              34,             70,         3930,           1685,            11,      5724,         201,          6
 117,           468,              60,              9,         13924,              34,             70,         3974,           1711,            10,      5871,         204,          6
 118,           471,              60,              9,         14161,              34,             71,         4009,           1726,            10,      5955,         205,          6
 119,           478,              62,             10,         14400,              36,            143,         4060,           1758,            12,      5950,         206,          8
 120,           481,              62,             10,         14641,              36,             91,         4086,           1767,            11,      6072,         207,          7
 121,           484,              62,             16,         14884,              36,             74,         4135,           1786,            13,      6206,         209,          7
 122,           487,              62,             10,         15129,              36,             77,         4170,           1802,            11,      6298,         212,          7
 123,           490,              62,              7,         15376,              36,            109,         4201,           1817,            13,      6386,         214,          7
 124,           493,              62,              5,         15625,              36,            113,         4243,           1840,            14,      6606,         218,          8
 125,           496,              62,              5,         15876,              36,            148,         4282,           1859,            15,      6696,         220,         12
 126,           499,              62,              5,         16129,              36,            112,         4320,           1879,            15,      6822,         221,         14
 127,           502,              62,              5,         16384,              36,            221,         4357,           1895,            17,      6917,         223,         14
 128,           505,              62,              6,         16641,              36,            234,         4398,           1919,            16,      6841,         223,         13
 129,           512,              64,              4,         16900,              38,            186,         4438,           1938,            16,      6809,         223,         15
 130,           515,              64,              5,         17161,              38,            209,         4498,           1959,            15,      6942,         225,         13
 131,           518,              64,              5,         17424,              38,            233,         4538,           1969,            15,      7092,         227,         13
 132,           521,              64,              5,         17689,              38,            130,         4582,           1983,            11,      7489,         231,          8
 133,           526,              65,              3,         17956,              39,            122,         4629,           2013,            11,      7512,         231,          8
 134,           529,              65,              3,         18225,              39,            123,         4675,           2033,            11,      7766,         235,          9
 135,           532,              65,              3,         18496,              39,            125,         4711,           2045,            11,      7896,         237,          8
 136,           535,              65,              3,         18769,              39,            122,         4778,           2075,            11,      8157,         241,          8
 137,           538,              65,              3,         19044,              39,            123,         4802,           2083,            10,      8279,         245,          8
 138,           541,              65,              3,         19321,              39,            125,         4872,           2114,            10,      8027,         244,          8
 139,           544,              65,              3,         19600,              39,            124,         4916,           2136,            10,      8136,         245,          9
 140,           547,              65,              6,         19881,              39,            206,         4954,           2154,            18,      8242,         246,         15
 141,           550,              65,              6,         20164,              39,            232,         4983,           2163,            17,      8355,         248,         13
 142,           553,              65,              6,         20449,              39,            233,         5036,           2184,            19,      8288,         250,         12
 143,           560,              67,              6,         20736,              41,            236,         5076,           2202,            18,      8226,         250,         15
 144,           563,              67,              5,         21025,              41,            218,         5117,           2214,            18,      8377,         252,         15
 145,           566,              67,              6,         21316,              41,            227,         5175,           2246,            19,      8545,         254,         15
 146,           571,              68,              6,         21609,              42,            249,         5227,           2268,            12,      8563,         254,         14
 147,           574,              68,              6,         21904,              42,            213,         5261,           2280,            17,      8735,         256,         15
 148,           577,              68,              5,         22201,              42,            141,         5302,           2299,            12,      8922,         258,          9
 149,           580,              68,              4,         22500,              42,            127,         5334,           2314,            11,      9063,         261,          9
 150,           585,              69,              3,         22801,              43,            132,         5396,           2341,            11,      9077,         261,          8
 151,           590,              70,              3,         23104,              44,            127,         5440,           2357,            11,      9225,         264,          9
 152,           593,              70,              3,         23409,              44,            128,         5502,           2393,            11,      9526,         268,          9
 153,           596,              70,              3,         23716,              44,            134,         5521,           2396,            11,      9671,         269,          9
 154,           599,              70,              3,         24025,              44,            129,         5585,           2425,            12,      9966,         273,          9
 155,           602,              70,              3,         24336,              44,            129,         5611,           2436,            11,     10116,         275,          9
 156,           605,              70,              3,         24649,              44,            129,         5661,           2455,            11,     10118,         274,         10
 157,           608,              70,              3,         24964,              44,            140,         5712,           2486,            12,     10259,         277,         10
 158,           611,              70,              3,         25281,              44,            138,         5772,           2512,            13,     10186,         278,         10
 159,           616,              71,              7,         25600,              45,            240,         5786,           2514,            22,     10195,         278,         17
 160,           619,              71,              7,         25921,              45,            240,         5833,           2529,            21,     10340,         280,         17
 161,           622,              71,              7,         26244,              45,            231,         5888,           2554,            24,     10494,         282,         22
 162,           627,              72,              6,         26569,              46,            216,         5922,           2566,            18,     10831,         284,         15
 163,           630,              72,              6,         26896,              46,            202,         5976,           2595,            18,     10997,         286,         17
 164,           633,              72,              6,         27225,              46,            216,         6038,           2625,            20,     10997,         287,         11
 165,           638,              73,              4,         27556,              47,            137,         6071,           2642,            14,     11002,         287,         11
 166,           645,              75,              4,         27889,              47,            133,         6113,           2659,            13,     11087,         291,         11
 167,           654,              78,              7,         28224,              48,            223,         6147,           2671,            21,     11115,         292,         19
 168,           665,              82,              7,         28561,              48,            241,         6197,           2692,            21,     11053,         290,         18
 169,           668,              82,              6,         28900,              48,            213,         6235,           2705,            14,     11315,         294,         11
 170,           671,              82,              6,         29241,              48,            167,         6284,           2733,            15,     11667,         298,         12
 171,           674,              82,              4,         29584,              48,            136,         6330,           2758,            14,     11940,         299,         12
 172,           677,              82,              7,         29929,              48,            253,         6377,           2776,            15,     12000,         303,         12
 173,           680,              82,              4,         30276,              48,            138,         6402,           2780,            14,     12133,         304,         11
 174,           683,              82,              4,         30625,              48,            135,         6463,           2811,            14,     12268,         306,         12
 175,           688,              83,              4,         30976,              49,            135,         6506,           2837,            13,     12285,         306,         11
 176,           691,              83,              4,         31329,              49,            135,         6545,           2846,            13,     12448,         308,         11
 177,           694,              83,              4,         31684,              49,            227,         6588,           2868,            21,     12603,         310,         16
 178,           699,              84,              7,         32041,              50,            216,         6624,           2881,            19,     12802,         312,         19
 179,           702,              84,              4,         32400,              50,            141,         6683,           2913,            15,     12993,         314,         12
 180,           705,              84,              4,         32761,              50,            141,         6741,           2943,            15,     13173,         315,         12
 181,           708,              84,              4,         33124,              50,            138,         6764,           2943,            14,     13387,         319,         13
 182,           711,              84,              4,         33489,              50,            137,         6803,           2956,            14,     13375,         320,         11
 183,           714,              84,              4,         33856,              50,            137,         6843,           2977,            14,     13516,         321,         12
 184,           719,              85,              4,         34225,              51,            140,         6891,           2997,            14,     13526,         321,         11
 185,           724,              86,              4,         34596,              52,            139,         6946,           3034,            14,     13674,         324,         12
 186,           731,              88,              6,         34969,              52,            189,         6988,           3051,            15,     13877,         326,         13
 187,           736,              89,              4,         35344,              53,            139,         7027,           3063,            15,     14058,         326,         12
 188,           739,              89,              4,         35721,              53,            139,         7087,           3099,            15,     14078,         328,         13
 189,           742,              89,              4,         36100,              53,            140,         7126,           3113,            14,     14308,         332,         13
 190,           745,              89,              6,         36481,              53,            182,         7182,           3135,            16,     14315,         333,         13
 191,           750,              90,              4,         36864,              54,            140,         7214,           3153,            16,     14344,         333,         13
 192,           757,              92,              7,         37249,              54,            151,         7250,           3163,            15,     14681,         335,         13
 193,           766,              95,              5,         37636,              55,            153,         7295,           3190,            16,     14693,         336,         12
 194,           777,              99,              4,         38025,              55,            141,         7346,           3208,            16,     14540,         336,         12
 195,           780,              99,              4,         38416,              55,            143,         7384,           3222,            16,     14731,         337,         14
 196,           783,              99,              4,         38809,              55,            359,         7428,           3243,            17,     14743,         340,         23
 197,           786,              99,              5,         39204,              55,            145,         7465,           3254,            17,     15147,         344,         13
 198,           789,              99,              5,         39601,              55,            143,         7516,           3281,            16,     15291,         345,         12
 199,           792,              99,              4,         40000,              55,            143,         7560,           3301,            16,     15437,         347,         12
 200,           795,              99,              4,         40401,              55,            148,         7604,           3319,            16,     15584,         349,         13
 201,           798,              99,              5,         40804,              55,            144,         7626,           3326,            16,     15732,         351,         12
 202,           803,             100,              4,         41209,              56,            147,         7682,           3347,            16,     15754,         351,         13
 203,           806,             100,              4,         41616,              56,            143,         7728,           3375,            16,     15922,         353,         13
 204,           809,             100,              5,         42025,              56,            151,         7787,           3400,            16,     16097,         355,         13
 205,           812,             100,              5,         42436,              56,            145,         7819,           3411,            16,     16333,         359,         12
 206,           817,             101,              5,         42849,              57,            145,         7882,           3443,            16,     16351,         359,         13
 207,           820,             101,              4,         43264,              57,            146,         7918,           3465,            17,     16520,         360,         13
 208,           827,             103,              5,         43681,              59,            149,         7984,           3497,            17,     16530,         363,         13
 209,           830,             103,              5,         44100,              59,            147,         8017,           3508,            17,     16720,         365,         13
 210,           833,             103,              5,         44521,              59,            147,         8066,           3530,            17,     17343,         367,         13
 211,           836,             103,              5,         44944,              59,            147,         8101,           3546,            16,     17660,         368,         13
 212,           839,             103,              5,         45369,              59,            148,         8147,           3562,            16,     18078,         373,         14
 213,           842,             103,              5,         45796,              59,            149,         8178,           3579,            17,     18243,         376,         14
 214,           845,             103,              5,         46225,              59,            151,         8237,           3606,            17,     18142,         378,         14
 215,           848,             103,              5,         46656,              59,            150,         8284,           3631,            17,     18304,         380,         14
 216,           851,             103,              5,         47089,              59,            150,         8314,           3642,            17,     18312,         379,         14
 217,           854,             103,              7,         47524,              59,            245,         8360,           3667,            27,     18478,         381,         26
 218,           859,             104,              9,         47961,              60,            254,         8400,           3675,            30,     19176,         385,         28
 219,           862,             104,              8,         48400,              60,            209,         8465,           3719,            19,     19350,         387,         16
 220,           865,             104,              6,         48841,              60,            152,         8516,           3741,            18,     19014,         387,         16
 221,           868,             104,              5,         49284,              60,            154,         8551,           3758,            21,     19270,         389,         20
 222,           875,             106,              7,         49729,              62,            223,         8596,           3779,            23,     19265,         389,         22
 223,           878,             106,              5,         50176,              62,            166,         8645,           3806,            18,     19559,         391,         15
 224,           881,             106,              5,         50625,              62,            104,         8687,           3822,            18,     20245,         397,         15
 225,           886,             107,              5,         51076,              63,            103,         8726,           3836,            19,     20258,         397,         15
 226,           889,             107,              5,         51529,              63,            100,         8777,           3854,            19,     20626,         398,         16
 227,           892,             107,              5,         51984,              63,            148,         8828,           3887,            19,     20872,         400,         16
 228,           895,             107,              5,         52441,              63,             87,         8868,           3899,            27,     20658,         399,         25
 229,           898,             107,              9,         52900,              63,            138,         8918,           3928,            31,     20931,         402,         31
 230,           903,             108,              8,         53361,              64,             91,         8962,           3946,            20,     20676,         402,         16
 231,           910,             110,              5,         53824,              64,             89,         8998,           3957,            19,     20692,         404,         15
 232,           917,             112,              5,         54289,              66,             89,         9035,           3972,            20,     20944,         407,         17
 233,           920,             112,              9,         54756,              66,            124,         9089,           4004,           177,     21192,         411,         31
 234,           923,             112,              7,         55225,              66,            132,         9129,           4018,            22,     21415,         410,         54
 235,           926,             112,              6,         55696,              66,             92,         9180,           4041,            19,     21671,         412,         17
 236,           929,             112,              6,         56169,              66,             54,         9229,           4063,            19,     22133,         415,         17
 237,           932,             112,              5,         56644,              66,             54,         9248,           4073,            19,     22397,         417,         16
 238,           937,             113,              5,         57121,              67,             55,         9324,           4121,            19,     21857,         415,         17
 239,           940,             113,              6,         57600,              67,             55,         9362,           4135,            20,     22065,         417,         16
 240,           943,             113,              5,         58081,              67,             55,         9394,           4148,            20,     22336,         419,         17
 241,           948,             114,              5,         58564,              68,             56,         9422,           4150,            20,     22353,         419,         16
 242,           955,             116,              5,         59049,              68,             56,         9472,           4175,            19,     22378,         421,         17
 243,           958,             116,              5,         59536,              68,             57,         9546,           4219,            20,     22638,         423,         16
 244,           961,             116,              6,         60025,              68,             57,         9593,           4239,            19,     23027,         427,         17
 245,           964,             116,              5,         60516,              68,             58,         9645,           4266,            21,     23262,         428,         16
 246,           969,             117,              5,         61009,              69,             58,         9669,           4279,            20,     23274,         428,         16
